file;sent_id;source;cue;content;polarity;sent_text;negation;certainty;negation_NLTK;group;centroid
21st-Century-Wire_20170627T181355;3;the CDC ;announced ;that the United States achieved measles elimination ;positive;Back in 2000 , the CDC announced that the United States achieved measles elimination .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
21st-Century-Wire_20170627T181355;4;the CDC ;claims ;to have tracked 644 cases ;negative;Since then , cases have been recorded in the US each year , culminating in 2014 where the CDC claims to have tracked 644 cases .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
21st-Century-Wire_20170627T181355;9;that ;declared ;â Disneyland Measles Outbreak â ;positive;As a popular and recognizable children ’s brand , Disneyland was crucial in propelling successful headlines that boldly declared , “ Disneyland Measles Outbreak ” .;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
21st-Century-Wire_20170627T181355;11;the network ;touting ;a â federal mandate â ;negative;Today , CNN took an even more aggressive stance in promoting what the network is now touting as a “ federal mandate ” .;Confirm;uncertain;Confirm;4;the questions citizens of the world should be asking 
21st-Century-Wire_20170627T181355;12;CNN âs Sanjay Gupta ;pressed ;about how vaccines â do not cause autism â ;positive;CNN ’s Sanjay Gupta pressed hard on the new US Surgeon General Vivek Murphy about how vaccines “ do not cause autism ” .;Deny;certain;Deny;1;vaccines can cause autism 
21st-Century-Wire_20170627T181355;28;US media outlets , including CNN , ;labeling ;as a herd of animals ;positive;Since the Disneyland outbreak story was released , US media outlets , including CNN , have been aggressively promoting the livestock term , “ herd immunity ” , effectively labeling American children as a herd of animals .;Confirm;certain;Confirm;8;not to vaccinate their children at all 
21st-Century-Wire_20170627T181355;30;the media ;promoting ;a â herd mentality â ;positive;‘ Herd Mentality ’ In reality , what the media are promoting is a “ herd mentality ” , ignoring how parents used to bring their young children together to catch chicken pox and measles etc , to guarantee lifetime immunity for their children .;Confirm;uncertain;Confirm;2;others for every little thing 
21st-Century-Wire_20170627T181355;52;the media âs hysterical storyline ;â â ;â non-vaxxers brought back an eradicated disease ! â ;positive;Since vaccine strain measles has almost entirely supplanted wild-type , communally acquired measles , it is statistically unlikely that PCR tests will reveal the media ’s hysterical storyline — “ non-vaxxers brought back an eradicated disease ! ”;Confirm;certain;Confirm;11;measles eradicated from the U.S. 
@berkeleywellness_20170709T195101;4;many parents ;choose ;not to get their kids vaccinated ;positive;How many parents choose not to get their kids vaccinated ?;Deny;uncertain;Deny;13;to get their children vaccinated 
@berkeleywellness_20170709T195102;5;Roughly one to two percent of parents ;choose ;not to vaccinate their children at all ;negative;Roughly one to two percent of parents choose not to vaccinate their children at all .;Deny;certain;Deny;8;not to vaccinate their children at all 
